Date,Location,MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm,RainToday,RainTomorrow
2008-12-24,Alburyg,15.3,30.9,0.0,15.3712,14.03,N,33.0,ESE,NW,6.0,13.0,23.0,55.0,1011.0,1008.2,5.0,5.604,20.9,29.0,No,No
2008-12-25,Alburyg,12.6,32.4,0.0,15.3712,14.03,W,43.0,E,W,4.0,19.0,17.0,49.0,1012.9,1010.1,6.994,5.604,21.5,31.2,No,No
2008-12-26,Alburyg,16.2,33.9,0.0,15.3712,14.03,WSW,13.0,SE,W5W,9.0,35.0,19.0,45.0,1010.9,1007.6,1.0,6.994,23.2,33.0,Nu,No
2008-12-27,Alburyg,16.9,33.0,14.03,15.3712,0.0,WSW,57.0,N,W,0.0,26.0,28.0,41.0,1006.8,1003.6,1.0,6.994,26.6,31.2,No,No
2008-12-28,Alburyg,20.1,32.7,0.0,15.3712,14.03,WNW,48.0,N,WNW,13.0,30.0,15.0,56.0,1005.2,1001.7,6.994,5.604,24.6,32.1,No,No
2008-12-29,Alburyg,19.7,27.2,0.0,15.3712,14.03,WNW,46.0,NW,WSW,19.0,38.8,22.0,49.0,1004.8,1004.2,6.994,5.604,21.6,26.1,Yes,No
2008-12-30,Alburyg,12.5,24.2,1.2,15.3712,14.03,WNW,S9.0,W5W,SW,11.0,22.0,70.0,78.0,1005.6,1003.4,8.0,8.0,12.5,18.2,No,Yes
2008-12-31,Alburyg,12.0,24.4,0.8,15.3712,14.03,W,39.0,WNW,WNW,17.0,17.0,28.0,48.0,1006.1,1005.1,1.0,5.604,16.9,22.7,No,No
2009-01-01,Alburyg,11.3,25.7,15.3712,0.0,14.03,WNW,56.0,W,WNW,19.0,3I.9,26.0,46.0,1004.5,1003.2,6.994,5.604,79.1,26.5,No,No
2009-01-02,Alburyg,9.6,14.9,0.0,15.3712,14.03,W,41.0,SSW,WSW,19.0,11.0,22.0,44.0,1014.4,1013.1,6.994,5.604,23.9,22.1,No,No
2009-01-03,Alburyg,10.5,28.8,0.0,15.3712,14.03,SSE,26.0,SSE,E,11.0,7.0,22.0,43.0,1018.7,1014.8,6.994,5.604,17.1,26.5,No,No
2009-01-04,Alburyg,12.3,34.6,0.0,15.3712,14.03,WNW,37.0,SSE,NW,6.0,17.0,12.0,41.0,1015.1,1010.3,5.604,6.994,20.7,B3.0,N0,No
2009-9l-05,Alburyg,12.9,35.8,0.0,15.3712,14.03,WNW,41.0,ENE,NW,26.0,6.0,9.0,41.0,1012.6,1009.2,6.994,5.604,22.4,34.4,No,No
2009-01-06,Alburyg,13.7,37.9,0.0,15.3712,14.03,W,52.0,SE,WNW,4.0,26.0,8.0,33.0,1010.9,1006.7,5.604,6.994,23.1,36.8,No,No
2009-01-07,Alburyg,16.1,88.q,15.3712,0.0,14.03,W,57.0,E,W,6.0,30.0,12.0,34.0,1007.0,1002.7,6.994,5.604,25.2,83.4,No,No
2009-01-08,Alburyg,14.0,28.3,0.0,15.3712,14.03,W,48.0,W,WSW,17.0,Z4.8,15.0,43.0,1011.9,1010.9,6.994,5.604,17.9,27.6,No,No
2009-01-09,Alburyg,12.5,28.4,0.0,15.3712,14.03,NE,37.0,SSE,S,20.0,0.O,16.0,38.0,1017.8,1013.7,6.994,8.6o4,17.2,26.6,No,No
2009-01-10,Alburyg,17.0,30.8,0.0,15.3712,14.03,NE,37.0,NNE,E,15.0,11.0,24.0,36.0,1013.4,1008.1,6.994,8.684,20.2,29.3,N0,No
2009-01-11,Alburyg,16.9,32.0,0.0,15.3712,14.03,S,31.0,SSE,N,13.0,17.0,31.0,52.0,1009.9,1006.8,5.604,6.994,22.8,30.0,No,No
2009-01-12,Alburyg,17.3,34.7,0.0,15.3712,14.03,SW,B5.8,SE,WSW,7.0,15.0,16.0,48.0,1014.1,1012.1,6.994,5.604,24.2,33.2,No,No
2009-01-13,Alburyg,37.7,17.2,0.0,15.3712,14.03,NNW,35.0,SE,NW,7.0,17.0,19.0,51.0,1010.9,1015.7,6.994,5.604,24.3,35.7,No,No
2009-01-14,Alburyg,17.4,43.0,0.0,15.3712,14.03,NW,39.0,SSE,SSW,7.0,l1.0,8.0,40.0,1011.6,1006.9,6.994,5.604,25.6,41.5,No,No
2009-01-15,Alburyg,19.8,32.7,0.0,15.3712,14.03,WNW,44.0,W,W,20.0,Z8.O,28.0,34.0,1008.4,1009.2,6.994,5.604,27.6,27.1,No,No
2009-01-16,Alburyg,14.9,25.5,0.0,15.3712,14.03,SW,56.0,SW,WSW,20.0,31.0,20.0,46.0,1014.1,1012.7,5.604,6.994,18.0,26.7,No,No
2009-01-17,Alburyg,10.5,28.4,0.0,15.3712,14.03,SE,33.0,SE,SW,Iq.0,11.0,16.0,35.0,1019.7,1017.4,6.994,5.604,16.0,25.8,No,No
2009-01-18,Alburyg,l1.B,32.2,0.0,15.3712,14.03,WNW,28.0,SSW,ENE,17.0,15.0,17.0,34.0,1019.7,1016.2,6.994,5.604,30.5,20.9,No,No
2009-01-19,Alburyg,13.9,36.6,0.0,15.3712,14.03,WNW,39.0,SSE,NNE,2.0,15.0,10.0,39.0,1015.8,1010.6,6.994,5.604,22.0,34.4,No,No
2009-01-20,Alburyg,18.6,39.9,0.0,15.3712,14.03,NNW,61.0,SSE,WNW,9.0,20.0,21.0,36.0,1010.1,1004.8,6.994,5.604,26.8,37.7,No,No
2o09-O1-21,Alburyg,10.B,35.I,O.0,1S.37I2,l4.0B,NNW,6I.D,WSW,NE,l5.9,11.O,17.0,48.0,1D00.6,7005.0,6.gg4,8.G04,z7.B,8b.1,N0,N0
2O99-01-22,Alburyg,24.4,34.0,0.6,15.3712,14.03,NW,98.0,N,NNW,26.0,48.0,39.0,60.0,1005.3,997.8,4.0,1.0,26.1,88.1,No,Yes
2009-01-23,Alburyg,18.8,35.2,6.4,15.3712,14.03,WNW,52.0,S,NW,6.0,28.0,28.0,43.0,1007.9,1003.9,6.994,5.604,22.8,33.0,Yes,No
2009-01-24,Alburyg,20.8,30.6,0.0,15.3712,14.03,W,30.0,W,W,54.0,28.0,21.0,41.0,1005.4,1001.G,b.094,5.604,23.3,29.7,No,No
2009-01-25,Alburyg,14.0,34.3,0.0,15.3712,14.03,WSW,24.0,ESE,SSE,7.0,13.0,10.0,44.0,1016.5,1014.6,6.994,5.604,21.2,32.1,No,No
2O09-01-Z6,Alburyg,15.7,38.4,0.0,15.B71z,14.03,S,33.0,SSE,WSW,7.0,7.0,12.0,48.0,1017.7,1014.6,6.994,5.604,23.4,36.5,No,No
2009-01-27,Alburyg,18.5,38.2,0.0,15.3712,14.03,NNE,31.0,SE,NNW,9.0,17.0,25.0,48.0,1017.8,1014.1,6.994,5.604,25.8,36.2,No,No
2009-01-28,Alburyg,20.4,40.7,0.0,14.03,15.3712,N,37.0,E,NNE,7.0,13.0,15.0,45.0,1011.6,1014.9,6.994,5.604,28.2,39.2,No,No
2009-01-29,Alburyg,41.5,21.8,0.0,15.3712,14.03,SW,24.0,ESE,S,6.0,1l.8,13.0,38.0,1015.7,1011.8,6.994,5.604,29.0,40.1,No,No
2009-01-30,Alburyg,22.3,42.9,0.0,15.3712,14.03,NNE,28.0,ESE,SE,9.0,11.0,11.0,37.0,1014.6,1010.2,5.604,6.994,29.2,41.2,No,No
2009-01-31,Alburyg,22.0,42.7,0.0,15.3712,14.03,ESE,48.0,ESE,SW,4.0,4.0,11.0,33.0,1D14.Z,1010.5,6.994,5.604,29.9,42.0,No,No
2009-02-01,Alburyg,28.0,43.1,14.03,15.3712,0.0,SW,15.0,SE,E,83.0,9.0,9.0,27.0,1012.5,1008.7,6.994,5.604,32.4,41.9,No,No
2O09-92-02,Alburyg,24.4,38.3,0.2,15.3712,14.03,SW,56.0,NE,NW,19.0,7.0,21.0,32.0,1011.7,1007.4,6.994,5.604,28.8,37.1,No,No
2009-02-03,Alburyg,21.5,37.7,0.0,15.3712,14.03,W,29.993,N,SE,13.0,9.0,21.0,51.0,1o09.z,1005.7,6.994,5.604,27.2,36.2,No,No
2009-02-04,Alburyg,21.7,36.9,0.0,15.3712,14.03,W,29.993,N,SE,11.0,11.0,26.0,53.0,1008.8,1004.7,C.9g4,5.604,z5.S,35.2,No,No.
2099-0Z-05,Alburyg,21.5,41.2,0.0,15.3712,14.03,WSW,35.0,SSE,S,7.0,19.0,15.0,48.0,1005.9,1002.6,6.994,5.604,26.5,39.7,No,No
2009-02-06,Alburyg,23.5,42.2,0.0,15.3712,14.03,W,15.0,SE,W,6.0,37.0,8.0,39.0,1008.0,1005.0,6.994,5.604,28.7,41.6,No,No
2009-02-07,Alburyg,22.3,44.8,0.0,15.3712,14.03,NNW,59.0,SE,NW,9.0,33.0,11.0,36.0,1003.8,1008.2,6.994,5.604,29.6,43.4,No,No
2009-02-08,Alburyg,28.3,40.2,0.0,15.3712,14.03,NW,52.0,N,W,22.0,9.0,19.0,20.0,1007.0,I086.5,6.994,5.0,34.5,38.5,No,No
2009-02-09,Alburyg,18.4,31.2,0.4,15.3712,14.03,SE,37.0,SW,WSW,7.0,11.0,31.0,66.0,1009.3,1007.8,7.0,8.0,18.7,29.4,No,No
2000-O2-10,Alburyg,l4.0,21.B,O.O,15.B71Z,74.O3,58E,4I.o,55E,8E,z0.O,18.o,30.0,50.0,l0I1.6,1o08.8,6.g04,I.o,l1.4,28.3,NO,N0
2009-02-11,Alburyg,13.5,26.7,0.0,15.3712,14.03,SSE,46.0,SSE,E,19.0,11.0,24.0,45.0,1012.8,1011.1,6.994,5.604,16.7,24.9,No,No
2009-02-12,Alburyg,16.1,21.6,0.0,15.3712,14.03,SE,46.0,SSE,NE,11.0,15.0,69.0,58.0,1017.0,1011.B,2.0,8.0,17.0,17.3,No,Yes
2O00-02-13,Alburyg,74.C,Z9.o,8.9,I5.3112,14.8B,55E,4I.D,5E,55E,2b.9,Z4.O,21.0,41.0,102B.B,I010.7,G.9g4,S.6D4,I8.o,Z7.b,Ye8,N0
2009-02-14,Alburyg,12.4,29.2,0.0,15.3712,14.03,NE,39.0,S,SE,7.0,0.0,18.0,37.0,1022.5,1016.4,6.994,5.604,18.3,28.5,No,No
2009-02-15,Alburyg,13.3,31.3,0.0,15.3712,14.03,NNE,41.0,SSE,SSW,7.0,15.0,23.0,50.0,1016.2,1012.8,6.994,5.604,19.2,29.2,No,No
2009-02-16,Alburyg,11.Z,31.1,0.0,15.3712,14.03,E,35.0,SE,ESE,17.0,11.0,22.0,43.0,1017.7,1013.8,6.994,5.604,z7.4,29.5,No,No
2009-02-17,Alburyg,12.5,28.8,0.0,15.3712,14.03,N,31.0,SSE,ENE,7.0,11.0,17.0,46.0,1017.2,1013.5,6.994,5.604,18.0,27.0,No,No
2089-02-1S,Alburyg,10.8,3z.D,14.03,15.311Z,0.0,NW,3I.D,ENE,5W,4.9,I3.O,22.0,44.0,1007.5,1012.4,G.9g4,8.C04,Z2.l,Bo.7,Nu,N0
2009-02-19,Alburyg,16.2,34.0,0.0,15.3712,l4.08,WSW,48.0,SE,WSW,4.0,22.0,16.0,53.0,1004.5,1007.8,6.994,5.604,z1.9,32.7,No,No
2009-02-20,Alburyg,18.7,29.1,0.0,15.3712,14.03,SSW,4l.8,NNW,SSE,7.0,17.0,39.0,45.0,1010.1,1010.8,6.994,5.604,21.5,26.8,No,No
2009-02-21,Alburyg,13.7,31.7,0.0,15.3712,14.03,SSE,28.0,SSE,S,2.0,9.0,19.0,63.0,1012.5,1010.4,6.994,5.604,19.3,29.8,No,No
2009-02-22,Alburyg,15.5,33.2,0.0,15.3712,14.03,NW,31.0,S,WNW,11.0,15.0,23.0,49.0,1012.4,1015.6,6.994,5.604,20.9,31.3,No,No
2009-02-23,Alburyg,14.3,34.0,0.0,15.3712,14.03,"NW,",70.0,SE,NW,6.0,22.0,10.0,48.0,1013.0,1009.2,6.994,5.604,20.7,33.4,No,No
2009-02-24,Alburyg,12.9,29.6,15.3712,0.0,14.03,WNW,46.0,WNW,SW,7.0,Z4.D,14.0,54.0,10I4.o,1012.7,6.0,7.0,18.7,28.6,No,No
2009-02-25,Alburyg,8.9,31.9,0.0,15.3712,14.03,WNW,43.0,N,WSW,17.0,0.0,16.0,49.0,1016.6,1013.4,7.0,7.0,15.0,29.3,No,No
20o9-02-2G,Alburyg,30.5,20.7,0.0,15.3712,14.03,ESE,26.0,ESE,S,15.0,2.0,19.0,43.0,1017.8,1015.0,6.994,5.G84,32.7,15.0,No,No
2009-02-27,Alburyg,15.4,32.6,0.0,15.3712,14.03,W,24.0,N,S,0.0,6.0,25.0,53.0,1012.6,1016.2,6.994,5.604,20.0,39.0,No,No
2009-02-28,Alburyg,16.0,34.5,15.3712,0.0,14.03,WSW,44.0,SE,E,b.D,2.19,14.0,44.0,1007.5,1004.6,6.994,5.604,22.2,33.6,No,No
2009-03-01,Alburyg,12.8,30.3,0.0,15.3712,14.03,W,30.0,WSW,W,4.0,13.0,27.0,53.0,1010.5,1008.7,6.994,5.604,17.3,28.1,No,No
2009-03-02,Alburyg,13.2,31.9,0.0,15.3712,14.03,NNW,35.0,S,ENE,6.0,9.0,25.0,53.0,1011.6,1014.1,6.994,5.604,18.0,29.8,No,No
2009-03-03,Alburyg,18.0,31.1,0.0,15.3712,14.03,WNW,52.0,NE,NNE,15.0,26.0,35.0,58.0,1014.7,1009.0,5.0,5.604,23.0,29.2,No,No
2009-03-04,Alburyg,13.8,22.1,0.2,15.3712,14.03,WNW,57.0,W,WNW,26.0,33.0,26.0,57.0,1014.5,1013.1,6.994,5.604,15.6,21.9,No,No
2009-O8-05,Alburyg,11.5,22.0,0.0,15.3712,14.03,SW,50.0,WSW,W,19.0,33.0,33.0,60.0,1013.7,1011.8,6.994,5.604,13.9,21.4,No,No
2009-03-06,Alburyg,7.6,24.0,0.0,15.3712,14.03,WSW,30.0,N,WNW,0.0,13.0,23.0,52.0,1014.5,1012.0,6.994,5.604,12.6,22.0,No,No
2009-03-07,Alburyg,8.3,27.9,0.0,15.3712,14.03,W,37.0,5,W,4.0,20.0,22.0,58.0,1015.2,1012.4,6.gg4,5.604,13.3,27.0,No,No
2009-03-08,Alburyg,11.0,17.6,0.0,75.37I2,14.03,SSE,24.0,E,SSE,7.0,11.0,20.0,54.0,1017.0,1014.7,6.994,5.604,30.2,28.8,NO,No
2009-03-09,Alburyg,13.8,31.8,0.0,15.8112,14.03,NNE,24.0,SSE,NE,17.0,6.0,28.0,49.0,1019.7,1015.9,6.994,5.604,18.6,30.5,No,No
2009-03-10,Alburyg,15.5,32.0,0.0,15.3712,14.03,NE,50.0,ESE,E,2.0,4.0,25.0,51.0,1019.5,1016.2,6.994,5.604,20.1,30.8,No,Yes
2009-03-11,Alburyg,29.6,30.5,1.2,15.3712,14.03,NE,44.0,NE,N,15.0,19.0,23.0,57.0,70z1.3,1018.0,6.994,5.604,21.5,18.4,Yes,No
2009-03-12,Alburyg,20.9,25.7,0.0,15.3712,14.03,W,37.0,ENE,S,11.0,9.0,90.0,52.0,1019.5,1018.9,6.994,8.0,Z2.z,18.8,No,Yes
2009-03-13,Alburyg,17.1,25.8,5.8,15.3712,14.03,N,31.0,ENE,S,0.0,13.0,68.0,82.0,1014.7,1017.4,8.0,5.604,19.0,ZB.8,Yes,Yes
2009-03-14,Alburyg,16.4,27.0,3.0,15.3712,14.03,SW,69.0,E,N,q.O,22.0,74.0,82.0,1012.7,1008.0,6.994,4.0,19.9,19.7,Ye8,Yes
2009-03-15,Alburyg,10.0,19.7,11.6,15.3712,14.9B,WNW,39.0,W,NW,11.0,17.0,41.0,62.0,1013.4,1012.0,6.994,8.0,12.7,18.3,Yes,No
2009-03-16,Alburyg,8.8,21.9,0.0,15.3712,14.03,W,39.0,S,WNW,2.0,20.0,34.0,78.0,1013.3,1011.6,6.994,6.0,12.2,20.5,N0,No
2009-03-17,Alburyg,8.4,25.3,0.0,15.3712,14.03,WNW,35.0,SSE,WSW,9.0,17.0,34.0,78.0,1013.2,1015.6,6.994,5.604,12.1,23.9,No,No
2009-03-18,Alburyg,9.3,28.0,0.0,15.3712,14.03,NW,52.0,SSE,NW,6.0,11.0,19.0,76.0,1017.4,1013.9,6.994,5.604,14.7,27.2,No,No
2009-03-19,Alburyg,11.3,30.1,0.0,15.3712,14.03,WSW,24.0,S,SW,6.0,7.0,15.0,56.0,1016.3,1013.6,6.994,5.604,14.7,29.3,No,No
2009-03-20,Alburyg,11.5,33.5,0.0,I8.3712,14.03,SSE,7.0,NE,N,22.0,7.0,13.0,50.0,1016.5,1013.6,6.994,5.604,17.4,32.6,No,No
2009-03-21,Alburyg,13.8,33.6,o.9,15.3712,14.03,NNW,28.0,NNE,N,0.0,11.0,17.0,47.0,1017.0,1013.1,6.qg4,2.0,18.8,33.5,No,No
2009-03-22,Alburyg,14.6,30.0,0.0,15.3712,14.03,NE,37.0,E,NNE,4.0,19.0,30.0,56.0,1014.8,1012.7,3.0,1.0,18.1,29.0,No,No
2009-03-23,Alburyg,l4.4,31.6,0.0,15.3712,14.03,NW,37.0,N,WNW,0.0,24.0,25.0,63.0,1013.7,1011.8,5.604,6.994,18.8,31.4,No,No
2009-03-24,Alburyg,10.8,31.9,0.0,15.3712,14.03,S,48.0,SSE,WNW,6.0,20.0,20.0,62.0,1016.5,1014.4,6.994,5.604,15.4,30.7,No,No
2009-03-25,Alburyg,15.4,22.3,0.4,15.3712,14.03,ENE,30.0,SSE,SSE,11.0,9.0,78.0,69.0,1017.4,1019.2,8.0,8.0,18.3,19.6,No,Yes
2009-03-26,Alburyg,13.3,29.8,14.03,15.3712,1.8,WNW,33.0,N,WSW,0.0,20.0,26.0,87.0,1019.1,1017.2,6.994,6.0,16.2,29.2,Yes,No
2009-03-27,Alburyg,27.6,10.1,0.0,15.3712,14.03,WNW,43.0,N,W,0.0,11.0,30.0,63.0,1020.7,1023.0,5.604,6.994,16.5,26.8,No,No
z00g-03-28,Alburyg,q.l,z8.g,o.O,75.37I2,l4.0B,NNW,Z4.8,N,N,z.9,11.o,26.0,60.0,l0Z3.8,l0Z0.6,G.9g4,S.6D4,l4.D,z7.1,NO,Nu
2009-03-29,Alburyg,10.4,31.2,0.0,15.3712,14.03,S,22.0,N,SE,0.0,6.0,18.0,60.0,1022.4,1019.1,6.994,5.604,16.0,29.9,N0,No
2009-03-30,Alburyg,13.4,30.4,9.o,15.3712,14.03,ENE,22.0,N,SE,0.0,9.0,16.0,57.0,1023.0,1019.5,6.994,5.604,17.2,29.2,No,No
2009-03-31,Alburyg,12.3,zg.9,O.O,1S.37I2,74.83,W8W,2b.D,8,85W,2.0,73.D,25.0,61.0,7023.z,1079.S,G.9q4,5.604,11.7,ZS.6,No,Nu
2009-04-01,Alburyg,12.2,30.6,0.0,15.3712,14.03,ENE,22.0,N,SE,0.0,6.0,22.0,59.0,1022.6,1019.4,6.994,5.604,16.6,29.5,No,No
2009-04-02,Alburyg,14.3,32.1,0.0,15.3712,14.03,NE,28.0,N,ENE,0.0,11.0,30.0,59.0,1022.6,1018.4,6.994,5.604,18.4,30.9,No,Yes
2009-04-03,Alburyg,ls.4,28.1,8.6,15.3712,14.03,W,98.0,E,NNE,17.0,7.0,49.0,92.0,1018.8,1012.9,6.0,8.0,19.0,27.4,Yes,Yes
2009-04-04,Alburyg,10.7,21.4,14.03,15.3712,12.6,W,43.0,N,WSW,13.0,0.0,33.0,60.0,1019.3,1019.8,6.994,5.604,13.9,20.3,Yes,No
2009-04-05,Alburyg,7.8,21.7,0.0,15.3712,14.o8,WSW,31.0,E,NW,6.0,19.0,37.0,72.0,1020.4,1016.5,6.994,5.604,12.9,21.2,No,No
2009-04-06,Alburyg,8.1,21 .4,0.0,15.3712,14.03,W,35.0,SSE,WSW,13.0,10.D,20.0,58.0,1021.8,1019.6,6.994,5.604,13.8,20.9,No,No
ZO09-04-07,Alburyg,1.8,22.5,0.0,15.3712,14.03,SE,28.0,S,S,7.0,7.0,27.0,55.0,1026.7,1023.5,5.604,6.994,13.3,21.6,No,No
2009-04-08,Alburyg,8.2,24.0,14.03,15.3712,0.0,SSE,17.0,SSE,SSE,7.0,13.0,30.0,60.0,1027.1,1023.4,6.994,5.604,l3.0,23.5,No,No
2009-04-09,Alburyg,8.1,25.7,0.0,15.3712,14.03,ENE,22.0,ESE,S,9.0,18.8,27.0,67.0,1D24.z,1019.6,G.q94,5.604,15.1,25.0,No,No
2009-04-10,Alburyg,11.6,26.7,0.0,15.3712,14.03,W,48.0,SE,NE,6.0,11.0,42.0,59.0,1021.5,1017.7,8.0,7.0,16.4,Z4.B,No,Yes
2009-04-11,Alburyg,13.0,24.9,8.4,15.3712,14.03,W,46.0,S,E,6.0,11.0,47.0,75.0,1024.4,1020.3,8.0,6.0,18.0,24.4,Yes,Yes
2009-04-12,Alburyg,I8.5,24.2,6.2,15.3712,14.03,WSW,6.0,N,SE,0.0,20.0,52.0,88.0,1024.1,1020.8,8.0,5.604,15.4,23.1,Yes,No
2009-04-13,Alburyg,9.9,25.4,0.0,15.3712,14.03,NNE,19.0,ENE,SSW,4.0,1.9,35.0,65.0,1023.0,1018.7,6.994,S.6o4,16.1,25.0,Nu,No
2009-04-14,Alburyg,lz.2,25.0,0.0,15.3712,14.03,WNW,30.0,N,W,0.0,15.0,39.0,68.0,1016.3,1011.6,6.0,5.604,16.2,24.6,No,No
2009-04-15,Alburyg,10.7,21.9,0.0,15.3712,14.03,W,63.0,NW,W,26.0,31.0,27.0,44.0,1008.2,1009.8,2.0,5.604,20.5,18.9,No,No
2009-04-16,Alburyg,B.8,20.0,0.0,15.3712,14.03,W,31.0,N,WNW,0.0,1B.O,30.0,65.0,1016.3,1012.8,6.994,5.604,9.6,19.4,No,No
Z00g-04-17,Alburyg,12.6,Z1.b,8.D,15.B112,I4.o3,WNW,2G.o,ENE,W,b.O,17.o,39.0,59.0,1013.S,l0I6.8,1.0,5.0,6.6,2l.G,NO,NO
2009-04-18,Alburyg,7.0,23.4,0.0,15.3712,14.9B,W,24.0,SSE,W,2.0,17.0,37.0,73.0,1022.8,1019.3,6.994,5.604,12.4,22.9,No,No
2009-04-19,Alburyg,11.2,23.9,15.3712,0.0,14.03,SE,31.0,SE,SE,13.0,15.0,33.0,54.0,1022.7,1019.6,6.994,5.604,18.0,23.6,No,No
2009-04-20,Alburyg,14.1,22.0,D.8,15.3712,14.03,SSE,28.0,SE,SE,2.0,7.0,29.0,58.0,1023.6,1020.0,6.994,5.604,7.4,21.3,No,No
2009-04-21,Alburyg,5.7,21.4,0.0,15.3712,14.03,ESE,17.0,ENE,SSE,6.0,7.0,39.0,68.0,1025.2,1020.9,6.994,5.604,12.2,20.9,No,N0
2009-04-22,Alburyg,6.2,22.7,0.0,15.3712,14.03,ESE,17.0,N,SW,0.0,7.0,33.0,73.0,1026.0,1021.6,6.994,5.604,11.2,22.3,No,No
